torque_ts
Ek: 1e-06,
Rat: 20.0,
1.11773208256115E-06,1180986.0295141300
2.11127171150439E-06,1174488.6111618700
3.10481134044764E-06,1168082.7225772000
4.09835096939088E-06,1161861.1923810800
5.09189059833413E-06,1155918.5257055500
6.08543022727737E-06,1150347.1165007600
7.07896985622062E-06,1145238.7618090600
8.07250948516386E-06,1140683.3606128300
9.06604911410711E-06,1136762.8927466000
1.00595887430504E-05,1133547.9551847700
1.10531283719936E-05,1131097.4158925700
1.20466680009369E-05,1129456.2129042500
1.30402076298801E-05,1128652.4044797200
1.40337472588234E-05,1128696.1117571200
1.50272868877666E-05,1129578.3795585800
1.60208265167099E-05,1131269.6637053900
1.70143661456531E-05,1133720.3277547300
1.80079057745964E-05,1136862.143659440
1.90014454035396E-05,1140609.0637055600
2.01191774861008E-05,1145419.9640505300
2.1112717115044E-05,1150098.1318226900
2.21062567439873E-05,1155024.9194303500
2.30997963729305E-05,1160070.5632549800
2.40933360018738E-05,1165104.5009007500
2.5086875630817E-05,1169999.827816260
2.60804152597603E-05,1174637.1410077800
2.70739548887035E-05,1178907.5847838200
2.80674945176468E-05,1182714.732408720
2.906103414659E-05,1185975.5375603900
3.00545737755333E-05,1188620.8567801400
3.10481134044765E-05,1190595.296320090
3.20416530334197E-05,1191856.312777450
3.3035192662363E-05,1192372.9221434900
3.40287322913062E-05,1192124.009133840
3.50222719202494E-05,1191096.7204839700
3.60158115491926E-05,1189285.846659560
3.70093511781359E-05,1186693.7208826500
3.80028908070791E-05,1183329.7073198900
3.91206228896402E-05,1178642.6360927500
4.01141625185834E-05,1173699.5563308000
4.11077021475267E-05,1168056.9526258900
4.21012417764699E-05,1161753.238631910
4.30947814054131E-05,1154835.5090166800
4.40883210343563E-05,1147359.3871409700
4.50818606632996E-05,1139388.387045600
4.60754002922428E-05,1130993.828075480
4.7068939921186E-05,1122254.529794040
4.80624795501292E-05,1113255.3446703200
4.90560191790724E-05,1104085.2619213000
5.00495588080157E-05,1094835.6855307000
5.10430984369589E-05,1085598.589886390
5.20366380659021E-05,1076464.6881116700
5.30301776948454E-05,1067521.7800071500
5.40237173237886E-05,1058852.9775320100
5.50172569527318E-05,1050535.1101529300
5.6010796581675E-05,1042637.7217127200
5.70043362106182E-05,1035222.107030920
5.81220682931794E-05,1027519.75154136
5.91156079221226E-05,1021288.4247985500
6.01091475510658E-05,1015669.2754563500
6.1102687180009E-05,1010684.0691151500
6.20962268089523E-05,1006344.7802126100
6.30897664378955E-05,1002654.2452566700
6.40833060668387E-05,999606.7848434750
6.50768456957819E-05,997188.563854248
6.60703853247252E-05,995378.2988084320
